headline,abstract,desk,locations,word_count,snippet,source,subjects,url,section,date,type,id
War Zone; What Would 'Victory' Mean?,"Serge Schmemann article says no military retaliation for attacks on World Trade Center and Pentagon can alone bring about freedom from terror implied in Pres Bush's call for war on terrorism; says among other things, US must also address poverty and hopelessness that give rise to terrorism, appreciate complexities of Islamic militancies and governments that sponsor them and recognize that America cannot go it alone in this campaign; drawing (M)",Week in Review Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",1303,"NO sooner had the great towers collapsed than talk of war began billowing from the twisted wreckage. ''Attack on America,'' screamed the banners in the media. American flags sprouted over the wounds. These were not just acts of terror, proclaimed...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/16/weekinreview/war-zone-what-would-victory-mean.html,Washington; Week in Review,2001-09-16,News,4fd228ae8eb7c8105d7b2363
LONG BATTLE SEEN,"Pres Bush tells American military to get ready for long war against terrorism and vows to 'do what it takes to win'; identifies Osama bin Laden as 'prime suspect' in attacks on New York and Pentagon; administration presses ahead on diplomatic front, compaigning through its envoys around the world to build solid international coalition of friends and isolate foes; Sec of State Colin L Powell asks Saudi Arabia to sever diplomatic realations with Taliban in Afghanistan; says Pakistan has agreed to assist US in whatever might be required in retaliating; terrified Afghan citizens begin leaving their country, and neighboring Iran begins to seal its borders against wave of refugees; Taliban leaders threaten holy war against all those who help in American-led military campaign against their country (M)",National Desk,"[u'NEW YORK CITY', u'IRAN', u'PAKISTAN', u'WASHINGTON (DC)', u'AFGHANISTAN']",1740,"President Bush told the American military today to get ready for a long war against terrorism, and vowed to ''do what it takes to win.''    In a brief appearance with his senior advisers at Camp David, where they met to plan the new offensive, Mr....",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'IMMIGRATION AND REFUGEES', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/16/us/after-the-attacks-the-overview-long-battle-seen.html,U.S.; Washington,2001-09-16,News,4fd2171d8eb7c8105d7925a1
President Seems to Gain Legitimacy,,National Desk,[],1267,"With the eyes of a nervous nation fixed upon him, George W. Bush began coming of age as president this weekend.    In the capital and in New York City, in settings both formal and informal, Mr. Bush sought to lift the spirits of the American people...",The New York Times,[],http://www.nytimes.com/2001/09/16/us/after-the-attacks-assessment-president-seems-to-gain-legitimacy.html,U.S.,2001-09-16,An Analysis; News Analysis,4fd20f998eb7c8105d78276e
"Before & After; Awakening to Terror, and Asking the World for Help","Fight against terrorism will likely require global cooperation of sort that Bush administration has previously dismissed, and administration may have to temper its unilateral instincts on many issues as a result; photo (M)",Week in Review Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",846,"OF all the offers of support that Americans received last week from friends and acquaintances abroad, one of the most remarkable came from the editors of Le Monde, the French daily newspaper often noted for wariness of the United States. ''We are all...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/16/weekinreview/before-after-awakening-to-terror-and-asking-the-world-for-help.html,Washington; Week in Review,2001-09-16,News,4fd211378eb7c8105d78680b
In This Section,,National Desk,[],612,"PLANNING COUNTERATTACK  President Bush, marshaling his advisers and addressing the nation on radio, speaks of ''a conflict without battlefields or beachheads'' and says ''the conflict will not be short.'' 1    Congressional leaders talk of loosening...",The New York Times,[],http://www.nytimes.com/2001/09/16/us/in-this-section.html,U.S.,2001-09-16,Summary,4fd2171d8eb7c8105d7925af
Pakistan Antiterror Support Avoids Vow of Military Aid,,National Desk,[],1359,"Pakistan today pledged its ''full support'' in the hunt for those responsible for the terrorist attacks on the World Trade Center and the Pentagon, but carefully avoided any specific commitment to provide the United States with military assistance in...",The New York Times,[],http://www.nytimes.com/2001/09/16/us/after-attacks-islamabad-pakistan-antiterror-support-avoids-vow-military-aid.html,U.S.,2001-09-16,News,4fd2503d8eb7c8105d7f3cf1
AFTER THE ATTACKS,,Metropolitan Desk,[],184,"AMERICAN PARADOX -- In the Arab and wider Muslim worlds, America is viewed with both longing and loathing, sometimes by the same groups of people.   PAGE 4    PAKISTAN'S DILEMMA -- Pakistan pledged its ''full support'' in the hunt for the attackers,...",The New York Times,[],http://www.nytimes.com/2001/09/16/nyregion/after-the-attacks.html,New York and Region,2001-09-16,Summary,4fd228ae8eb7c8105d7b237d
Taliban Opposition Confirms Death of Its Battle Commander,"In wake of attacks on World Trade Center and Pentagon, Swiss banks are expected to come under added pressure to set aside their customary discretion and identify money connected to terrorist organizations (M)",Foreign Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)', u'SWITZERLAND']",601,"Ahmed Shah Massoud, a legendary guerrilla commander in a cocked beret and the leader of the last remaining resistance to the Taliban who rule most of this country, died today of wounds received in an assassination attempt, Burhanuddin Rabbani, the...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'HIJACKING', u'TERRORISM', u'BANKS AND BANKING']",http://www.nytimes.com/2001/09/16/world/taliban-opposition-confirms-death-of-its-battle-commander.html,World,2001-09-16,News,4fd2171d8eb7c8105d7925ad
"For Now, Film Industry Scratches Violence in Favor of Family Fare and Patriotism","Television and film executives say that in wake of attacks on World Trade Center and Pentagon, movies involving terrorism, explosions, hijackings and kind of jokey violence popular in films of 1990's will be rapidly replaced by patriotic stories, family dramas touching on parents and children and escapist comedies; photo (M)",National Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",1373,"In response to the terrorist attacks in New York and at the Pentagon on Tuesday, television and film executives say movies involving terrorism, explosions, hijackings and the kind of jokey violence popular in the films of the 1990's will be rapidly...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'VIOLENCE', u'MOTION PICTURES', u'PENTAGON BUILDING', u'TELEVISION', u'MISSING PERSONS', u'HIJACKING', u'TELEVISION AND RADIO PROGRAMMING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/16/us/after-attacks-hollywood-for-now-film-industry-scratches-violence-favor-family.html,Movies; U.S.,2001-09-16,News,4fd252718eb7c8105d7f816c
"For Now, Film Industry Scratches Violence in Favor of Family Fare and Patriotism","Television and film executives say that in wake of attacks on World Trade Center and Pentagon, movies involving terrorism, explosions, hijackings and kind of jokey violence popular in films of 1990's will be rapidly replaced by patriotic stories, family dramas touching on parents and children and escapist comedies; photo (M)",National Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",1373,"In response to the terrorist attacks in New York and at the Pentagon on Tuesday, television and film executives say movies involving terrorism, explosions, hijackings and the kind of jokey violence popular in the films of the 1990's will be rapidly...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'VIOLENCE', u'MOTION PICTURES', u'PENTAGON BUILDING', u'TELEVISION', u'MISSING PERSONS', u'HIJACKING', u'TELEVISION AND RADIO PROGRAMMING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/16/us/after-attacks-hollywood-for-now-film-industry-scratches-violence-favor-family.html,Movies; U.S.,2001-09-16,News,4fd252718eb7c8105d7f816c
F.B.I. Was Seeking 2 of the Hijacking Suspects at the Time of the Attacks,"Khalid al-Mihdhar and Nawaf al-Hamzi, two of men believed to have hijacked plan that crashed into Pentagon on Sept 11, were known to authorities associates of Osama bin Landen and had been sought in US since August by FBI; Atty Gen John Ashcroft says investigation is 'developing a king of clarity' as authorities piece together lives and recent movements of 19 men and their ground-based accomplices; 25 people have been arrested on immigration violations as part of investigations; passport of one hijacker is found several blocks from World Trade Center; American and European law enforcement officials are examining whether any associates of Osama bin Laden may have tried to profit from attacks by trading in put options or short-selling particular stocks, like re-insurance companies or airlines (M)",National Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",1437,"Two of the men believed to have hijacked the plane that crashed into the Pentagon on Tuesday were known to the authorities as associates of Osama bin Laden and had been sought in the United States since August by the Federal Bureau of Investigation,...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'INSURANCE', u'PENTAGON BUILDING', u'IMMIGRATION AND REFUGEES', u'MISSING PERSONS', u'HIJACKING', u'STOCKS AND BONDS', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/16/us/after-attacks-investigation-fbi-was-seeking-2-hijacking-suspects-time-attacks.html,U.S.,2001-09-16,News,4fd263778eb7c8105d81630e
"Russia Takes Stand Against Terrorism, but the Stance Wavers Quickly","Russia, after calling for united response to terrorism, offering NATO unsolicited support and even tacitly endorsing US military retaliation, appears to be pulling back from these positions as it reasses its own strategic position; Defense Min Sergei Ivanov rules out 'even hypothetical assumptions' that Russia and other former Soviet states would lend troops or bases to any NATO military action; Russian officials also warn US that any retaliation that causes civilian suffering would only provoke greater terrorist response; photo (M)",National Desk,"[u'NEW YORK CITY', u'RUSSIA', u'WASHINGTON (DC)']",1045,"To see why Russia has enthusiastically backed President Bush's call for a global war against terrorism, look at who visited the Kremlin last week. And to see why that enthusiasm shows signs of flagging so soon, look at who did not.    The visitor was...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/16/us/after-attacks-moscow-russia-takes-stand-against-terrorism-but-stance-wavers.html,U.S.; Washington,2001-09-16,News,4fd229318eb7c8105d7b2fd9
America Inspires Both Longing and Loathing in Muslim World,"Perception of United States in Arab and larger Muslim world is complicated mix of bitter grievances and unquenchable appetite for things American, both material and intangible; photo (M)",National Desk,"[u'NEW YORK CITY', u'MIDDLE EAST', u'WASHINGTON (DC)']",985,"Of all history's great powers, from Athens and Rome to Byzantium and imperial Britain, perhaps none has ever so dominated the globe as America does now.    Nor has any of these powers aroused such a complex of feelings, positive and negative, that...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'ISLAM', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/16/us/after-attacks-international-memo-america-inspires-both-longing-loathing-muslim.html,U.S.; Washington,2001-09-16,News,4fd263778eb7c8105d81631c
Tokyo Index Dives and Japan Buys Dollars to Stem Yen Rise,"Japanese stocks plunge and yen gains against dollar as Japan nervously awaits resumption of New York trading; Nikkei 225 drops 4.02 percent, to 18-year low of 9,453, before recovering somewhat later in day; Min Masajuro Shiokawa suggests Japan may sell yen to prop up dollar; Japan reportedly searches for dozen foreign Islamic extremists who entered nation in Sept (M)",Business/Financial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",627,"Japanese stocks plunged in afternoon trading today and the yen strengthened against the dollar as Japan nervously awaited the resumption of trading in New York.    The benchmark Nikkei 225 was down 4.02 percent and sank to an 18-year low of 9,453 at...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'CURRENCY', u'MISSING PERSONS', u'HIJACKING', u'STOCKS AND BONDS', u'NIKKEI STOCK AVERAGE', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/business/attacks-asian-markets-tokyo-index-dives-japan-buys-dollars-stem-yen-rise.html,Business,2001-09-17,News,4fd20f948eb7c8105d782462
Internet Access Providers Curb Both Terrorist Postings and an Anti-Islamic Backlash,Internet service companies curb Web sites supporting terrorism and backlash anti-Islamic messages in wake of terrorist attacks; some jihad sites come under attack from enraged Web surfers; Internet providers cite 'community standards' in barring sites protected by free speech rules; photos (M),Business/Financial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",1030,"For Internet service companies, the aftermath of last week's terrorist attacks has meant new scrutiny of the material that their online users can view and post.    Whether it is Web sites supporting terrorism, or backlash anti-Islamic messages posted...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'MISSING PERSONS', u'FREEDOM OF SPEECH AND EXPRESSION', u'HIJACKING', u'ISLAM', u'TERRORISM', u'COMPUTERS AND THE INTERNET', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/business/after-attacks-web-sites-internet-access-providers-curb-both-terrorist-postings.html,Technology; Business,2001-09-17,News,4fd211348eb7c8105d78658b
Scouring the Internet in Search of the Tracks of Terrorists,Federal Bureau of Investigation and anti-terrorism investigators are asking Internet service providers to help conduct online wiretaps as part of probes into terrorist attacks; some online advocates say probers are demanding companies attach Carnivore wiretap system to their networks; note using that system's broadest capabilities would be illegal (M),Business/Financial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",582,"The online posting on Aug. 30 sounded like the rantings of a crank: The subject was ''911,'' and it warned ''Something is going to happen tomorrow . . . REPENT!''    On Sept. 4, the author of the first message, ''Xinoehpoel,'' was back: ''Wait 7...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'COMPUTERS AND THE INTERNET', u'PRIVACY', u'WIRETAPPING AND OTHER EAVESDROPPING DEVICES AND METHODS', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/business/after-attacks-surveillance-scouring-internet-search-tracks-terrorists.html,Technology; Business,2001-09-17,News,4fd20f948eb7c8105d782461
"The Moods of America: Grief, Rage, Resolve",Letter from Lynne Hawes calls for concerted international pressure on banks that hold Osama bin Laden's money to freeze his assets,Editorial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",101,"To the Editor:    Re ''Bin Laden: Child of Privilege Who Champions Holy War'' (news article, Sept. 14):",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'ASSETS, FROZEN', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/opinion/l-the-moods-of-america-grief-rage-resolve-217409.html,Opinion,2001-09-17,Letter,4fd228448eb7c8105d7b161c
Rebel Chief Who Fought The Taliban Is Buried,"Ahmed Shah Massoud, legendary commander who held together last remaining resistance to Afghanistan's Taliban government, is buried after succumbing to wounds sustained in assassination attempt week ago; Massoud's death causes confusion among anti-Taliban forces; he was charismatic guerrilla fighter who kept remaining anti-Taliban forces together; Burhanuddin Rabbani, Afghan leader deposed by Taliban in 1996, claims, without citing evidence, that assassination was conspiracy involving Pakistan, terrorist group of Osama bin Laden and Taliban; Mohammad Fahim is named new defense chief of anti-Taliban rebels; photo of some of thousands of anti-Taliban Afghan fighters gathered to honor Massoud (M)",Foreign Desk,"[u'PAKISTAN', u'AFGHANISTAN']",968,"Thousands of Afghan fighters streamed through the dusty mountain trails of the Panjshir Valley today to bury Ahmed Shah Massoud, their legendary commander who held together the last remaining resistance to the Taliban government.    Mr. Massoud, who...",The New York Times,"[u'ASSASSINATIONS AND ATTEMPTED ASSASSINATIONS', u'CIVIL WAR AND GUERRILLA WARFARE']",http://www.nytimes.com/2001/09/17/world/rebel-chief-who-fought-the-taliban-is-buried.html,World,2001-09-17,News,4fd218178eb7c8105d794259
Investigators Discover That 3 Attackers on Planes Attended Same German University,"German officials acknowledge that Technical University of Hamburg-Harburg, small technical university in Hamburg, unknowingly harbored cell of Islamic fundamentalists, that included at least three of hijackers who carried out and perished in terrorist attacks against World Trade Center and Pentagon; say trio included Mohamed al-Amir Awad al-Sayed Atta, Marwan Yusef Mohammed al-Shehhi and Ziad Jarrahi; photo (M)",National Desk,"[u'GERMANY', u'NEW YORK CITY', u'WASHINGTON (DC)']",1200,"To the deep embarrassment of German security officials, a small technical university on the southern edge of this wealthy port city unknowingly harbored a cell of Islamic fundamentalists, a group that included at least three of the hijackers who...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'BIOGRAPHICAL INFORMATION', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/us/after-attacks-hijackers-investigators-discover-that-3-attackers-planes-attended.html,U.S.; Washington,2001-09-17,News,4fd2526e8eb7c8105d7f7f7b
A New War And Its Scale,"Military analysis; Bush administration focuses possible military action against Afghanistan because of Taliban's support of terrorism; Taliban, which is expected to reject requests to hand over terrorist Osama bin Laden and shut down his terrorist networks; potential strike would be aimed not only at destroying terrorist bases, but also to demonstrate to other nations heavy cost to be paid for those who shelter enemies of US (M)",Foreign Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)', u'AFGHANISTAN']",1075,"When President Bush and his top aides talk about military action to end Afghanistan's support for terrorism, they are focusing on attacks to punish the Taliban and undermine their control over the country, not a full-scale American occupation.    No...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'AFGHANISTAN-INTERNATIONAL RELATIONS-US', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/world/after-the-attacks-the-strategy-a-new-war-and-its-scale.html,World; Front Page; Washington,2001-09-17,An Analysis; Military Analysis,4fd228448eb7c8105d7b1616
In This Section,,National Desk,[],499,RESPONDING TO TERRORISM    Pakistan will send high-ranking military officers to Afghanistan today to demand that the Taliban government arrest Osama bin Laden and his top associates and hand them over to the United States.   A1    The Bush...,The New York Times,[],http://www.nytimes.com/2001/09/17/us/in-this-section.html,U.S.,2001-09-17,Summary,4fd24c508eb7c8105d7ebeb8
Israel Wants Cease-Fire To Precede Truce Talks,"Prime Min Ariel Sharon of Israel says that he will try to help Bush administration draw Arab nations into coalition against terrorism by permitting truce talks in Jerusalem, but only if cease-fire creates 'absolute quiet' for 48 hours beforehand; says that in exchange for cease-fire order from Yasir Arafat, he would instruct army to halt incursions into Palestinian territory; Arafat says he would met Israelis at any time, but he does not say whether he would order militants to stop fighting; his planned meeting with Foreign Min Shimon Peres was canceled by Sharon, who claimed such a meeting now would 'legitimize Arafat as a good guy' even as he is 'using terrorism' at fullest strength; photo (M)",Foreign Desk,"[u'NEW YORK CITY', u'ISRAEL', u'WASHINGTON (DC)']",1090,Prime Minister Ariel Sharon of Israel said today that he would try to help the Bush administration draw Arab nations into a coalition against terrorism by permitting truce talks here -- but only if a cease-fire creates ''absolute quiet'' for 48 hours...,The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PALESTINIANS', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/world/israel-wants-cease-fire-to-precede-truce-talks.html,World; Washington,2001-09-17,News,4fd20f948eb7c8105d78245d
Edgy Afghans Pouring Toward Pakistan Border,"Afghans crowd Pakistan's consulate in Jalalabad, Afghanistan, seeking visas amid fears of US military action in retaliation for terrorist attacks against World Trade Center and Pentagon; Taliban government orders all foreigners out; says their safety can be no longer guaranteed; photo (S)",National Desk,"[u'NEW YORK CITY', u'PAKISTAN', u'WASHINGTON (DC)', u'AFGHANISTAN', u'JALALABAD (AFGHANISTAN)']",592,An abundance of Afghans gathered outside Pakistan's consulate here today. They were apparently feeling closer to eternity than they liked and thought it a good idea to get permission to leave the country.    ''They either want a visa to get out or a...,The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'DEPORTATION', u'AFGHANISTAN-INTERNATIONAL RELATIONS-PAKISTAN', u'PENTAGON BUILDING', u'HIJACKING', u'FOREIGN SERVICE', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/us/after-the-attacks-refugees-edgy-afghans-pouring-toward-pakistan-border.html,U.S.; Washington,2001-09-17,News,4fd20f948eb7c8105d782463
Pakistani Team Giving Afghans An Ultimatum,"Pakistan sends high-ranking military delegation to Afghanistan to demand that Taliban government hand over accused terrorist Osama bin Laden and his top associates to US or face almost certain American military action; Pres Pervez Musharraf agrees to relay ultimatum after days of intensive discussions with American officials; officials caution chances of Taliban bowing to American demand are slim; Pakistani officials say administration warned US will use every lever short of war to punish Pakistan unless it cooperates; choice between confronting Taliban or cooperating with US is wrenching one for Musharraf, who leads chronically unstable and nuclear armed nation dependent on ties to West but increasingly lured by radical Islam; map; photo (M)",Foreign Desk,"[u'NEW YORK CITY', u'PAKISTAN', u'WASHINGTON (DC)', u'AFGHANISTAN']",1390,Pakistan sent a group of high-ranking military officers to Afghanistan today to demand that the Taliban government hand over the accused terrorist Osama bin Laden and his top associates to the United States or face almost certain American military...,The New York Times,"[u'ATOMIC WEAPONS', u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'AFGHANISTAN-INTERNATIONAL RELATIONS-PAKISTAN', u'PENTAGON BUILDING', u'AFGHANISTAN-INTERNATIONAL RELATIONS-US', u'HIJACKING', u'ISLAM', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/world/after-the-attacks-the-neighbor-pakistani-team-giving-afghans-an-ultimatum.html,World; Front Page; Washington,2001-09-17,News,4fd218e68eb7c8105d796214
Tokyo Index Dives and Japan Buys Dollars to Stem Yen Rise,"Japanese stocks plunge and yen gains against dollar as Japan nervously awaits resumption of New York trading; Nikkei 225 drops 4.02 percent, to 18-year low of 9,453, before recovering somewhat later in day; Min Masajuro Shiokawa suggests Japan may sell yen to prop up dollar; Japan reportedly searches for dozen foreign Islamic extremists who entered nation in Sept (M)",Business/Financial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",627,"Japanese stocks plunged in afternoon trading today and the yen strengthened against the dollar as Japan nervously awaited the resumption of trading in New York.    The benchmark Nikkei 225 was down 4.02 percent and sank to an 18-year low of 9,453 at...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'CURRENCY', u'MISSING PERSONS', u'HIJACKING', u'STOCKS AND BONDS', u'NIKKEI STOCK AVERAGE', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/business/attacks-asian-markets-tokyo-index-dives-japan-buys-dollars-stem-yen-rise.html,Business,2001-09-17,News,4fd20f948eb7c8105d782462
Essay; Of Human Missiles,"William Safire Op-Ed column says challenge to Muslim clerics everywhere, not to mention Arab governments fearful of radical takeover, is how to build defense against theological brainwashing that creates suicide bombers; says mainstream Muslim clergy need to step up in their mosques and in public to oppose fanatics' perversion of their faith; says they must cite teachings from Koran that forbid murder of innocents and to warn that such murderers will suffer for their sins; says such specific refutation would begin to plant seeds of doubt in misled minds of suicidal (M)",Editorial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",688,"One Sunday morning a generation ago, the C.I.A. chief William Casey dropped in at my house for a cup of coffee and gruffed, ''You got a map of Afghanistan?''     Not your usual request, but I found a world atlas. Casey's fingers stabbed at the map to...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'PENTAGON BUILDING', u'MISSING PERSONS', u'HIJACKING', u'ISLAM', u'SUICIDES AND SUICIDE ATTEMPTS', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/opinion/essay-of-human-missiles.html,Opinion,2001-09-17,Op-Ed,4fd20f948eb7c8105d78245f
Intelligence and Terrorism,"Editorial says rush has begun to 'unshackle' Central Intelligence Agency and its fellow spy agencies so they can better combat terrorism; says some easing of restrictions may be warranted in light of terrorist attacks on New York and Washington, but any changes must be carefully weighed to assure that important democratic principles are not compromised without yielding any tangible gain in fight against terrorism",Editorial Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)']",658,The rush has already begun to ''unshackle'' the Central Intelligence Agency and its fellow spy agencies so that they can better combat terrorism. Some easing of restrictions may be warranted in light of last week's terrorist attacks on New York and...,The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'EDITORIALS', u'MISSING PERSONS', u'HIJACKING', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/17/opinion/intelligence-and-terrorism.html,Opinion,2001-09-17,Editorial,4fd250388eb7c8105d7f3913
The Power of Words,"In this lesson, students respond, in writing and in discussions, to statements of various world leaders about the September 11, 2001 terrorist attacks on the United States. They then keep quotation scrapbooks, responding to various quotations about the attacks that they read in the news.",,[],2173,"In this lesson, students respond, in writing and in discussions, to statements of various world leaders about the September 11, 2001 terrorist attacks on the United States. They then keep quotation scrapbooks, responding to various quotations about...",The New York Times,[],http://learning.blogs.nytimes.com/2001/09/17/the-power-of-words/,U.S.,2001-09-17,Blog,4fd363c18eb7c8105d8b2602
"Afghanistan, for Ages an Affliction to Mighty Empires, Is Not Easily Subdued",History of Afghanistan and its many conflicts through the ages discussed; authorities believe Osama bin Laden is living there under sanction by ruling Taliban; map; photos (M),Foreign Desk,"[u'NEW YORK CITY', u'WASHINGTON (DC)', u'AFGHANISTAN']",997,"Afghanistan, a poor and landlocked country, appears to be positioned for another round of what 19th-century imperialists called the Great Game, the battle for influence by outsiders, once mostly the Russians and the British, over a defiant land that...",The New York Times,"[u'WORLD TRADE CENTER (NYC)', u'AIRLINES AND AIRPLANES', u'UNITED STATES INTERNATIONAL RELATIONS', u'PENTAGON BUILDING', u'GEOGRAPHIC PROFILES', u'MISSING PERSONS', u'HIJACKING', u'HISTORY', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/09/18/world/nation-challenged-history-afghanistan-for-ages-affliction-mighty-empires-not.html,World; Washington,2001-09-18,News,4fd2323a8eb7c8105d7c1cf2
